-48 -61 -63 -76 -69
-57 -71 -69 -81 -73
-55 -67 -71 -80 -74
-59 -70 -72 -79 -73
-57 -68 -70 -80 -74
-63 -71 -72 -80 -75
-55 -69 -70 -77 -72
-57 -67 -69 -77 -74
-51 -63 -67 -77 -73
-59 -67 -69 -81 -75
-54 -59 -64 -80 -72
-59 -67 -71 -79 -72
-48 -65 -67 -75 -68
-49 -66 -63 -77 -72
-47 -56 -67 -79 -71
-54 -65 -70 -80 -72
-55 -61 -69 -77 -72
-59 -65 -71 -78 -74
-46 -62 -58 -73 -66
-49 -66 -60 -75 -69
-50 -62 -62 -73 -68
-54 -62 -67 -78 -74
-58 -63 -71 -81 -75
-60 -63 -72 -80 -75
-40 -61 -55 -75 -68
-48 -66 -64 -75 -67
-53 -59 -59 -78 -69
-53 -60 -69 -77 -72
-56 -52 -69 -78 -70
-60 -55 -71 -82 -75
-46 -58 -60 -74 -66
-42 -59 -55 -69 -68
-41 -56 -53 -68 -64
-53 -48 -63 -77 -74
-54 -43 -58 -73 -71
-60 -48 -67 -78 -76
-40 -59 -54 -68 -65
-46 -57 -53 -71 -64
-47 -56 -50 -69 -67
-50 -47 -63 -74 -73
-58 -43 -63 -75 -72
-60 -41 -65 -76 -74
-71 -75 -69 -49 -57
-65 -72 -69 -42 -55
-67 -72 -64 -39 -50
-71 -76 -66 -50 -48
-69 -71 -69 -50 -54
-64 -69 -61 -43 -46
-71 -74 -68 -59 -53
-64 -71 -63 -58 -57
-60 -69 -60 -45 -50
-64 -69 -62 -57 -57
-65 -74 -63 -55 -57
-59 -66 -54 -51 -45
-64 -69 -59 -60 -58
-63 -69 -54 -66 -60
-56 -65 -51 -52 -50
-60 -67 -53 -64 -57
-59 -70 -59 -72 -68
-48 -58 -45 -58 -53
-46 -58 -49 -66 -63
-45 -61 -60 -67 -68
-45 -51 -52 -65 -65
-50 -45 -58 -69 -67
-61 -45 -68 -76 -74
-55 -37 -61 -72 -71
-71 -74 -71 -43 -56
-69 -74 -70 -45 -57
-64 -68 -61 -43 -52
-69 -73 -66 -48 -57
-69 -74 -67 -52 -54
-63 -67 -60 -46 -41
-67 -73 -65 -55 -52
-68 -73 -67 -57 -56
-64 -68 -57 -49 -48
-66 -71 -64 -57 -56
-67 -72 -61 -60 -54
-57 -65 -49 -53 -43
-61 -67 -52 -60 -55
-62 -69 -55 -65 -59
-60 -66 -53 -58 -56
-57 -65 -54 -62 -60
-56 -65 -53 -64 -66
-50 -62 -41 -53 -60
-47 -56 -54 -59 -61
-50 -57 -53 -65 -68
-45 -48 -43 -53 -60
-48 -45 -59 -69 -70
-57 -46 -68 -76 -76
-63 -55 -73 -78 -79
-69 -74 -67 -47 -53
-70 -75 -71 -47 -58
-71 -75 -68 -47 -57
-68 -74 -67 -58 -52
-70 -74 -68 -57 -53
-65 -73 -63 -49 -44
-69 -75 -67 -59 -57
-69 -76 -68 -58 -54
-59 -67 -59 -58 -50
-62 -67 -63 -60 -53
-67 -72 -63 -64 -54
-60 -68 -56 -56 -43
-60 -68 -57 -59 -51
-60 -69 -56 -63 -60
-53 -63 -48 -53 -47
-52 -63 -48 -60 -62
-55 -65 -50 -66 -66
-49 -62 -40 -57 -60
-49 -54 -48 -62 -64
-57 -63 -61 -66 -69
-42 -50 -47 -58 -60
-52 -43 -63 -72 -72
-61 -48 -68 -71 -73
-56 -52 -67 -69 -75
-71 -76 -68 -48 -56
-71 -78 -69 -52 -53
-69 -74 -67 -51 -52
-69 -73 -65 -48 -52
-68 -75 -67 -56 -53
-67 -74 -61 -55 -48
-68 -74 -66 -57 -47
-68 -76 -67 -59 -51
-65 -70 -56 -54 -47
-65 -72 -62 -59 -50
-64 -72 -63 -64 -52
-62 -68 -57 -56 -47
-61 -68 -56 -60 -53
-63 -70 -57 -66 -60
-62 -71 -57 -75 -68
-55 -65 -52 -61 -61
-57 -67 -49 -66 -65
-50 -58 -40 -59 -61
-53 -59 -53 -63 -63
-50 -61 -58 -68 -66
-39 -47 -54 -65 -65
-51 -48 -60 -65 -66
-61 -53 -68 -73 -73
-81 -78 -80 -75 -78
-70 -77 -66 -52 -56
-72 -77 -70 -53 -56
-69 -75 -68 -51 -59
-67 -72 -63 -54 -47
-69 -77 -67 -57 -50
-69 -77 -64 -57 -46
-67 -72 -59 -57 -53
-66 -75 -64 -60 -48
-62 -70 -62 -61 -52
-63 -71 -53 -60 -52
-65 -74 -62 -58 -52
-58 -72 -52 -59 -54
-61 -69 -48 -62 -56
-62 -71 -48 -66 -60
-55 -66 -44 -67 -56
-56 -68 -41 -73 -58
-53 -63 -41 -69 -61
-59 -69 -43 -69 -65
-55 -63 -54 -71 -72
-51 -57 -56 -67 -67
-51 -54 -58 -69 -64
-51 -48 -58 -70 -69
-59 -55 -65 -71 -72
-59 -57 -61 -74 -67
-76 -77 -71 -49 -62
-74 -79 -70 -50 -59
-73 -81 -68 -52 -58
-71 -77 -67 -59 -54
-68 -77 -64 -60 -51
-63 -74 -63 -55 -44
-64 -73 -62 -58 -44
-68 -77 -65 -58 -46
-72 -79 -65 -71 -49
-70 -78 -59 -65 -47
-63 -74 -59 -59 -51
-69 -76 -61 -58 -46
-58 -66 -48 -69 -59
-58 -74 -47 -70 -58
-59 -68 -47 -67 -60
-59 -70 -42 -71 -59
-56 -68 -40 -65 -60
-57 -66 -44 -68 -64
-62 -64 -64 -75 -72
-51 -57 -54 -75 -70
-57 -60 -59 -72 -69
-59 -58 -60 -72 -66
-61 -58 -68 -73 -73
-61 -62 -63 -69 -71
-68 -76 -69 -50 -58
-70 -76 -68 -48 -60
-61 -77 -70 -55 -56
-63 -77 -66 -60 -53
-68 -77 -67 -58 -54
-70 -79 -69 -61 -47
-69 -78 -67 -59 -42
-67 -78 -66 -59 -38
-71 -80 -68 -64 -48
-71 -76 -63 -58 -49
-67 -77 -62 -61 -49
-66 -77 -54 -62 -46
-58 -69 -46 -68 -57
-58 -66 -43 -68 -62
-62 -69 -46 -69 -62
-57 -67 -44 -64 -62
-55 -70 -41 -74 -64
-59 -69 -46 -70 -63
-56 -59 -60 -73 -71
-49 -51 -57 -72 -72
-58 -62 -60 -75 -71
-56 -53 -60 -73 -67
-65 -63 -67 -81 -76
-53 -49 -61 -76 -71
-68 -80 -72 -55 -60
-68 -77 -67 -50 -60
-68 -78 -67 -57 -58
-73 -79 -72 -53 -57
-70 -75 -68 -57 -57
-75 -80 -72 -53 -54
-72 -81 -68 -63 -46
-69 -78 -62 -59 -39
-67 -76 -64 -61 -49
-72 -76 -66 -60 -41
-68 -78 -61 -62 -50
-72 -76 -63 -57 -57
-56 -70 -51 -74 -63
-62 -73 -46 -70 -66
-58 -67 -47 -72 -61
-59 -75 -48 -68 -65
-58 -69 -45 -72 -65
-64 -70 -49 -71 -64
-58 -63 -64 -77 -75
-52 -54 -59 -74 -71
-60 -62 -63 -78 -74
-57 -54 -58 -74 -68
-66 -63 -66 -77 -72
-61 -55 -64 -75 -69
-55 -81 -65 -80 -68
-54 -80 -66 -82 -69
-55 -78 -68 -84 -71
-55 -77 -70 -85 -73
-56 -76 -72 -87 -75
-57 -75 -74 -88 -77
-58 -74 -75 -90 -79
-59 -73 -77 -91 -81
-60 -71 -80 -93 -84
-60 -69 -83 -94 -87
-54 -77 -64 -77 -66
-53 -75 -65 -79 -68
-53 -73 -66 -81 -70
-55 -73 -69 -82 -72
-56 -73 -71 -84 -74
-57 -72 -73 -85 -75
-58 -71 -74 -86 -77
-60 -70 -75 -87 -79
-60 -68 -78 -89 -82
-60 -65 -81 -91 -85
-53 -73 -63 -74 -65
-51 -69 -64 -76 -67
-61 -65 -75 -85 -79
-60 -62 -78 -87 -83
-52 -70 -62 -72 -64
-52 -68 -65 -74 -67
-60 -63 -74 -82 -78
-60 -59 -77 -84 -82
-52 -68 -61 -70 -63
-50 -66 -63 -72 -66
-59 -60 -73 -81 -78
-59 -56 -76 -82 -81
-51 -66 -59 -69 -62
-48 -64 -59 -71 -64
-59 -57 -73 -80 -78
-59 -54 -74 -80 -81
-51 -65 -57 -68 -62
-47 -63 -57 -70 -64
-60 -53 -72 -79 -78
-59 -51 -73 -79 -81
-72 -75 -70 -41 -57
-70 -75 -69 -43 -56
-69 -75 -67 -44 -55
-67 -75 -66 -45 -54
-66 -74 -64 -47 -53
-66 -74 -64 -48 -52
-65 -74 -63 -50 -52
-64 -73 -62 -51 -52
-63 -73 -61 -53 -53
-62 -72 -60 -54 -53
-60 -72 -60 -55 -54
-60 -71 -59 -56 -54
-59 -71 -58 -58 -54
-59 -70 -58 -59 -55
-58 -69 -57 -60 -56
-57 -68 -56 -62 -57
-56 -67 -56 -63 -58
-54 -66 -56 -65 -59
-52 -64 -56 -67 -61
-47 -61 -57 -69 -63
-59 -49 -69 -77 -78
-59 -48 -71 -78 -80
-72 -74 -71 -42 -57
-71 -74 -69 -43 -56
-69 -74 -68 -45 -56
-67 -74 -67 -45 -54
-67 -74 -65 -45 -52
-68 -74 -65 -48 -51
-67 -73 -65 -49 -51
-65 -72 -63 -50 -51
-65 -72 -63 -53 -53
-63 -71 -62 -54 -54
-61 -70 -60 -53 -53
-61 -70 -60 -55 -54
-61 -70 -60 -56 -54
-60 -69 -57 -57 -53
-60 -68 -57 -60 -55
-60 -68 -55 -61 -57
-57 -66 -54 -61 -56
-57 -66 -55 -64 -59
-54 -65 -56 -66 -61
-48 -61 -53 -66 -61
-59 -45 -67 -76 -77
-59 -46 -70 -76 -80
-73 -74 -72 -42 -57
-72 -74 -70 -44 -56
-58 -45 -67 -75 -76
-59 -46 -69 -76 -79
-74 -74 -72 -43 -57
-72 -74 -71 -44 -56
-60 -49 -69 -75 -78
-60 -47 -70 -75 -80
-74 -74 -73 -43 -56
-72 -75 -70 -45 -55
-62 -53 -70 -74 -77
-61 -49 -70 -75 -80
-75 -75 -73 -45 -57
-72 -75 -70 -46 -56
-66 -58 -71 -74 -77
-62 -51 -69 -75 -79
-76 -76 -74 -46 -57
-73 -76 -71 -48 -57
-63 -56 -66 -74 -75
-62 -51 -67 -75 -79
-76 -78 -75 -48 -58
-74 -77 -72 -49 -58
-60 -54 -63 -74 -74
-61 -51 -65 -76 -79
-77 -79 -77 -50 -58
-74 -79 -73 -51 -58
-58 -52 -63 -76 -75
-60 -51 -64 -77 -79
-78 -81 -78 -52 -59
-74 -80 -75 -53 -59
-59 -53 -63 -77 -75
-61 -52 -63 -78 -79
